accession,museum_code,specimen_id,specimen_id_original,voucher,taxon,genus,species,subspecies,otu,locality,province,country,locus,database,reference,longitude,latitude,elevation_m
NA,LGEMA,15756,LGEMA15756,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15758,LGEMA15758,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15764,LGEMA15764,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15765,LGEMA15765,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,MCPMCP,3088,MCPMCP3088,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"CPCN Pró-Mata, São Francisco de Paula, RS, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-50.18694444,-29.49055556,NA
NA,ZMUC,144765,ZMUC144765,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Reserva Ecol. Caaguazú, Caazapá, PAR",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-55.75,-26.06667,NA
NA,LGEMA,15394,LGEMA15394,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Serro, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.43516667,-18.58722222,NA
NA,LGEMA,15395,LGEMA15395,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Serro, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.43516667,-18.58722222,NA
NA,LGEMA,15397,LGEMA15397,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Serro, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.43516667,-18.58722222,NA
NA,LGEMA,15449,LGEMA15449,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Fazenda Duas Barras, Santa Maria do Salto, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.05552778,-16.41205556,NA
NA,LGEMA,15467,LGEMA15467,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Fazenda Duas Barras, Santa Maria do Salto, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.05552778,-16.41205556,NA
NA,LGEMA,15469,LGEMA15469,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Fazenda Duas Barras, Santa Maria do Salto, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.05552778,-16.41205556,NA
NA,LGEMA,15489,LGEMA15489,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Fazenda Duas Barras, Santa Maria do Salto, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.05552778,-16.41205556,NA
NA,LGEMA,15494,LGEMA15494,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Fazenda Duas Barras, Santa Maria do Salto, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.05552778,-16.41205556,NA
NA,LGEMA,15400,LGEMA15400,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ladainha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.80191667,-17.57208333,NA
NA,LGEMA,15404,LGEMA15404,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ladainha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.80191667,-17.57208333,NA
NA,LGEMA,15405,LGEMA15405,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ladainha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.80191667,-17.57208333,NA
NA,LGEMA,14437,LGEMA14437,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ladainha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.80191667,-17.57208333,NA
NA,LGEMA,15439,LGEMA15439,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ladainha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.80191667,-17.57208333,NA
NA,LGEMA,15440,LGEMA15440,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ladainha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.80191667,-17.57208333,NA
NA,LGEMA,13527,LGEMA13527,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional do Caparaó, Alto Caparaó, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.8534,-20.42138,NA
NA,LGEMA,13528,LGEMA13528,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional do Caparaó, Alto Caparaó, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.8534,-20.42138,NA
NA,LGEMA,13529,LGEMA13529,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional do Caparaó, Alto Caparaó, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.8534,-20.42138,NA
NA,LGEMA,13530,LGEMA13530,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional do Caparaó, Alto Caparaó, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.8534,-20.42138,NA
NA,LGEMA,13531,LGEMA13531,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional do Caparaó, Alto Caparaó, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.8534,-20.42138,NA
NA,LGEMA,15366,LGEMA15366,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,15372,LGEMA15372,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,15377,LGEMA15377,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,15381,LGEMA15381,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,15388,LGEMA15388,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,15389,LGEMA15389,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,15393,LGEMA15393,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Sabinópolis, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-43.03911111,-18.69597222,NA
NA,LGEMA,13536,LGEMA13536,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Poté, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.82093333,-17.73031666,NA
NA,LGEMA,13538,LGEMA13538,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Poté, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.82093333,-17.73031666,NA
NA,LGEMA,13541,LGEMA13541,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Poté, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.82093333,-17.73031666,NA
NA,LGEMA,13545,LGEMA13545,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Poté, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.82093333,-17.73031666,NA
NA,LGEMA,13549,LGEMA13549,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Poté, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.82093333,-17.73031666,NA
NA,LGEMA,15417,LGEMA15417,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Poté, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.82093333,-17.73031666,NA
NA,LGEMA,13711,LGEMA13711,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Fazenda Limoeiro, Almenara, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.85680556,-16.0355,NA
NA,UFMG,B1090,UFMGB1090,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Escura, Jequitinhonha, MG, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41,-16.43333,NA
NA,LGEMA,13401,LGEMA13401,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Serra da Ouricana, Boa Nova, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-40.2075,-14.3625,NA
NA,LGEMA,13718,LGEMA13718,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"RPPN Serra Bonita, Camacan, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.65225,-15.38591667,NA
NA,LGEMA,13720,LGEMA13720,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"RPPN Serra Bonita, Camacan, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.65225,-15.38591667,NA
NA,LGEMA,13736,LGEMA13736,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"RPPN Serra Bonita, Camacan, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.65225,-15.38591667,NA
NA,LGEMA,13762,LGEMA13762,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Plantações da Michelin, Igrapiúna, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.23380556,-13.86147222,NA
NA,LGEMA,13763,LGEMA13763,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Plantações da Michelin, Igrapiúna, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.23380556,-13.86147222,NA
NA,LGEMA,13764,LGEMA13764,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Plantações da Michelin, Igrapiúna, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.23380556,-13.86147222,NA
NA,LGEMA,13765,LGEMA13765,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Plantações da Michelin, Igrapiúna, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.23380556,-13.86147222,NA
NA,LGEMA,13766,LGEMA13766,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Plantações da Michelin, Igrapiúna, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.23380556,-13.86147222,NA
NA,LGEMA,13767,LGEMA13767,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Plantações da Michelin, Igrapiúna, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.23380556,-13.86147222,NA
NA,LGEMA,14956,LGEMA14956,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Serra da Jibóia, Elísio Medrado, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-39.47808333,-12.87041667,NA
NA,MZUFBA,1191,MZUFBA1191,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1193,MZUFBA1193,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1194,MZUFBA1194,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1195,MZUFBA1195,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1196,MZUFBA1196,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1198,MZUFBA1198,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1199,MZUFBA1199,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1208,MZUFBA1208,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,MZUFBA,1209,MZUFBA1209,NA,bird,Synallaxis,cinerea,NA,Synallaxis cinerea,"Mata Terra Mater, Ibicoara, BA, BRA",NA,NA,cytb,GenBank,batalha-filho-et-al-2019,-41.344743,-13.38585,NA
NA,LGEMA,1170,LGEMA1170,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Juquitiba, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-46.78333333,-24.18333333,NA
NA,LGEMA,1177,LGEMA1177,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Juquitiba, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-46.78333333,-24.18333333,NA
NA,LGEMA,1181,LGEMA1181,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Juquitiba, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-46.78333333,-24.18333333,NA
NA,LGEMA,1182,LGEMA1182,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Juquitiba, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-46.78333333,-24.18333333,NA
NA,LGEMA,2988,LGEMA2988,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Buri, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.56666667,-23.71666667,NA
NA,LGEMA,1285,LGEMA1285,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Pinhalão, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-50.05,-23.96666667,NA
NA,LGEMA,1367,LGEMA1367,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Wenceslau Braz, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.8,-23.85,NA
NA,LGEMA,1368,LGEMA1368,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Wenceslau Braz, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.8,-23.85,NA
NA,LGEMA,2054,LGEMA2054,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Fazenda Barreiro Rico, Anhembi, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.09,-22.45,NA
NA,LGEMA,2067,LGEMA2067,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Fazenda Barreiro Rico, Anhembi, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.09,-22.45,NA
NA,LGEMA,2068,LGEMA2068,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Fazenda Barreiro Rico, Anhembi, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.09,-22.45,NA
NA,LGEMA,2087,LGEMA2087,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Fazenda Barreiro Rico, Anhembi, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.09,-22.45,NA
NA,LGEMA,2187,LGEMA2187,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Rancho Queimado, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.0333333,-27.6833333,NA
NA,LGEMA,11419,LGEMA11419,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Ortigueira, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-50.91666667,-24.2,NA
NA,LGEMA,12022,LGEMA12022,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Resende, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.75,-22.38333333,NA
NA,LGEMA,12036,LGEMA12036,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Estação Biológica Boracéia, Salesópolis, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-45.889633,-23.6542,NA
NA,LGEMA,12037,LGEMA12037,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Estação Biológica Boracéia, Salesópolis, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-45.889633,-23.6542,NA
NA,LGEMA,15591,LGEMA15591,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Estação Biológica Boracéia, Salesópolis, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-45.889633,-23.6542,NA
NA,LGEMA,12048,LGEMA12048,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Biritiba Mirim, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-45.98333333,-23.61666667,NA
NA,LGEMA,12056,LGEMA12056,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Biritiba Mirim, SP, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-45.98333333,-23.61666667,NA
NA,LGEMA,13011,LGEMA13011,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional Serra dos Órgãos, Teresópolis, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.00595,-22.4478,NA
NA,LGEMA,13013,LGEMA13013,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional Serra dos Órgãos, Teresópolis, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.00595,-22.4478,NA
NA,LGEMA,13015,LGEMA13015,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional Serra dos Órgãos, Teresópolis, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.00595,-22.4478,NA
NA,LGEMA,13018,LGEMA13018,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional Serra dos Órgãos, Teresópolis, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.00595,-22.4478,NA
NA,LGEMA,13021,LGEMA13021,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Parque Nacional Serra dos Órgãos, Teresópolis, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.00595,-22.4478,NA
NA,MNRJ,79,MNRJ79,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Estação Biológica Santa Lucia, Santa Teresa, ES, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-40.6003,-19.9356,NA
NA,MNRJ,229,MNRJ229,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Estação Biológica Santa Lucia, Santa Teresa, ES, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-40.6003,-19.9356,NA
NA,MNRJ,254,MNRJ254,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Rio Claro, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.1356,-22.7231,NA
NA,MNRJ,255,MNRJ255,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Rio Claro, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.1356,-22.7231,NA
NA,MNRJ,256,MNRJ256,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Rio Claro, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.1356,-22.7231,NA
NA,MNRJ,257,MNRJ257,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Rio Claro, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.1356,-22.7231,NA
NA,MNRJ,290,MNRJ290,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Paraty, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.7131,-23.2178,NA
NA,MNRJ,292,MNRJ292,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Paraty, RJ, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-44.7131,-23.2178,NA
NA,LGEMA,14527,LGEMA14527,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Roma, Morro Grande, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.76677778,-28.70533333,NA
NA,LGEMA,14530,LGEMA14530,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Roma, Morro Grande, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.76677778,-28.70533333,NA
NA,LGEMA,14537,LGEMA14537,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Roma, Morro Grande, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.76677778,-28.70533333,NA
NA,LGEMA,14545,LGEMA14545,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Roma, Morro Grande, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.76677778,-28.70533333,NA
NA,LGEMA,14580,LGEMA14580,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Trento, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.07955556,-27.29888889,NA
NA,LGEMA,14587,LGEMA14587,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Trento, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.07955556,-27.29888889,NA
NA,LGEMA,14589,LGEMA14589,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Trento, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.07955556,-27.29888889,NA
NA,LGEMA,14592,LGEMA14592,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Trento, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.07955556,-27.29888889,NA
NA,LGEMA,14612,LGEMA14612,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Nova Trento, SC, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-49.07955556,-27.29888889,NA
NA,LGEMA,14651,LGEMA14651,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Utinga, Guaraquecaba, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.23222222,-25.20311111,NA
NA,LGEMA,14655,LGEMA14655,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Utinga, Guaraquecaba, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.23222222,-25.20311111,NA
NA,LGEMA,14688,LGEMA14688,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Utinga, Guaraquecaba, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.23222222,-25.20311111,NA
NA,LGEMA,14689,LGEMA14689,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"Utinga, Guaraquecaba, PR, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-48.23222222,-25.20311111,NA
NA,UFMG,B2414,UFMGB2414,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"José Gonçalves de Minas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-42.6036,-16.9069,NA
NA,LGEMA,15751,LGEMA15751,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15752,LGEMA15752,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15756,LGEMA15756,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15758,LGEMA15758,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15764,LGEMA15764,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
NA,LGEMA,15765,LGEMA15765,NA,bird,Synallaxis,ruficapilla,NA,Synallaxis ruficapilla,"RPPN Serra do Caraça, Catas Altas, MG, BRA",NA,NA,nd2,GenBank,batalha-filho-et-al-2019,-43.4181,-20.375,NA
